key	table_name
#twad_key_deletes_tables;0;db/twad_key_deletes_tables/zzz_cbfm_buff_orc_spells	
wh3_main_skill_grn_orc_shaman_exclusive_31wh3_main_effect_spell_mastery_big_waagh_brain_bursta	character_skill_level_to_effects_junctions
wh3_main_skill_grn_orc_shaman_exclusive_31wh3_main_effect_spell_mastery_big_waagh_brain_bursta_upgraded	character_skill_level_to_effects_junctions
wh3_main_skill_grn_orc_shaman_exclusive_11wh3_main_effect_spell_mastery_big_waagh_fist_of_gork	character_skill_level_to_effects_junctions
wh3_main_skill_grn_orc_shaman_exclusive_21wh3_main_effect_spell_mastery_big_waagh_eadbutt	character_skill_level_to_effects_junctions
wh3_main_skill_grn_orc_shaman_exclusive_21wh3_main_effect_spell_mastery_big_waagh_eadbutt_upgraded	character_skill_level_to_effects_junctions
wh3_main_skill_grn_river_troll_hag_unique_capstone1wh3_main_effect_spell_mastery_death_doom_darkness_soulblight	character_skill_level_to_effects_junctions
wh3_main_skill_grn_goblin_shaman_exclusive_11wh3_main_effect_spell_mastery_little_waagh_sneaky_stabbin	character_skill_level_to_effects_junctions
wh3_main_skill_grn_goblin_shaman_exclusive_21wh3_main_effect_spell_mastery_little_waagh_itchy_nuisance	character_skill_level_to_effects_junctions
wh3_main_skill_grn_goblin_shaman_exclusive_31wh3_main_effect_spell_mastery_little_waagh_gork_will_fix_it	character_skill_level_to_effects_junctions
