key	table_name
#twad_key_deletes_tables;0;db/twad_key_deletes_tables/zzz_cbfm_masque_final_rituals	
wh3_dlc27_bundle_sla_tempo_3wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_displacement	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_2wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_attraction	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_1wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_reforging	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_1wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_displacement	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_1wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_attraction	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_3wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_destruction	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_3wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_attraction	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_2wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_displacement	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_2wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_destruction	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_1wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_destruction	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_3wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_reforging	effect_bundles_to_effects_junctions
wh3_dlc27_bundle_sla_tempo_2wh3_dlc27_eternal_dance_tempo_4_dance_disable_ritual_masque_of_reforging	effect_bundles_to_effects_junctions
