id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/zzz_cbfm_grom_ammo_replacer_ror_fix__			
214749001	cbfm_dlc26_grn_bow_stinkee_arrers_anti_large	wh_dlc06_grn_inf_da_rusty_arrers_0	
214749002	cbfm_dlc26_grn_bow_stinkee_arrers_ap	wh_dlc06_grn_inf_da_rusty_arrers_0	
214749003	cbfm_dlc26_grn_bow_stinkee_arrers_explosive	wh_dlc06_grn_inf_da_rusty_arrers_0	
214749004	cbfm_dlc26_grn_bow_stinkee_arrers_fire	wh_dlc06_grn_inf_da_rusty_arrers_0	
214749005	cbfm_dlc26_grn_bow_stinkee_arrers_multi	wh_dlc06_grn_inf_da_rusty_arrers_0	
214749006	cbfm_dlc06_grn_goblin_bow_mogrubb_anti_large	wh_dlc06_grn_cav_mogrubbs_marauders_0	
214749007	cbfm_dlc06_grn_goblin_bow_mogrubb_ap	wh_dlc06_grn_cav_mogrubbs_marauders_0	
214749008	cbfm_dlc06_grn_goblin_bow_mogrubb_explosive	wh_dlc06_grn_cav_mogrubbs_marauders_0	
214749009	cbfm_dlc06_grn_goblin_bow_mogrubb_fire	wh_dlc06_grn_cav_mogrubbs_marauders_0	
214749010	cbfm_dlc06_grn_goblin_bow_mogrubb_multi	wh_dlc06_grn_cav_mogrubbs_marauders_0	
214749011	wh2_dlc15_grn_goblin_bow_poison_spider_rider_anti_large_arrow	wh_dlc06_grn_cav_deff_creepers_0	
214749012	wh2_dlc15_grn_goblin_bow_poison_spider_rider_ap_arrow	wh_dlc06_grn_cav_deff_creepers_0	
214749013	wh2_dlc15_grn_goblin_bow_poison_spider_rider_explosive_arrow	wh_dlc06_grn_cav_deff_creepers_0	
214749014	wh2_dlc15_grn_goblin_bow_poison_spider_rider_fire_arrow	wh_dlc06_grn_cav_deff_creepers_0	
214749015	wh2_dlc15_grn_goblin_bow_poison_spider_rider_multi_shot	wh_dlc06_grn_cav_deff_creepers_0	
214749016	cbfm_dlc15_grn_goblin_bow_fire_lava_spider_mounted_anti_large	wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	
214749017	cbfm_dlc15_grn_goblin_bow_fire_lava_spider_mounted_ap	wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	
214749018	cbfm_dlc15_grn_goblin_bow_fire_lava_spider_mounted_explosive	wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	
214749019	cbfm_dlc15_grn_goblin_bow_fire_lava_spider_mounted_multi	wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	
