unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_best_of_empire					
			wh_dlc04_emp_inf_free_company_militia_0	zzz_cbfm_empire_all	false
			wh2_dlc13_emp_inf_huntsmen_0	zzz_cbfm_empire_all	false
			wh2_dlc13_emp_veh_war_wagon_0	zzz_cbfm_empire_all	false
			wh2_dlc13_emp_veh_war_wagon_1	zzz_cbfm_empire_all	false
			wh3_dlc25_emp_cav_knights_of_the_black_rose	zzz_cbfm_empire_all	false
			wh3_dlc25_emp_inf_hochland_long_rifles	zzz_cbfm_empire_all	false
			wh3_dlc25_emp_inf_nuln_ironsides	zzz_cbfm_empire_all	false
			wh3_dlc25_emp_veh_marienburg_land_ship	zzz_cbfm_empire_all	false
			wh3_dlc25_emp_veh_steam_tank_volley_gun	zzz_cbfm_empire_all	false
			wh_dlc04_emp_cav_knights_blazing_sun_0	zzz_cbfm_empire_all	false
			wh_dlc04_emp_inf_flagellants_0	zzz_cbfm_empire_all	false
			wh_main_emp_art_great_cannon	zzz_cbfm_empire_all	false
			wh_main_emp_art_helblaster_volley_gun	zzz_cbfm_empire_all	false
			wh_main_emp_art_helstorm_rocket_battery	zzz_cbfm_empire_all	false
			wh_main_emp_art_mortar	zzz_cbfm_empire_all	false
			wh_main_emp_cav_demigryph_knights_0	zzz_cbfm_empire_all	false
			wh_main_emp_cav_demigryph_knights_1	zzz_cbfm_empire_all	false
			wh_main_emp_cav_empire_knights	zzz_cbfm_empire_all	false
			wh_main_emp_cav_outriders_0	zzz_cbfm_empire_all	false
			wh_main_emp_cav_outriders_1	zzz_cbfm_empire_all	false
			wh_main_emp_cav_pistoliers_1	zzz_cbfm_empire_all	false
			wh_main_emp_cav_reiksguard	zzz_cbfm_empire_all	false
			wh_main_emp_inf_crossbowmen	zzz_cbfm_empire_all	false
			wh_main_emp_inf_greatswords	zzz_cbfm_empire_all	false
			wh_main_emp_inf_halberdiers	zzz_cbfm_empire_all	false
			wh_main_emp_inf_handgunners	zzz_cbfm_empire_all	false
			wh_main_emp_inf_spearmen_0	zzz_cbfm_empire_all	false
			wh_main_emp_inf_spearmen_1	zzz_cbfm_empire_all	false
			wh_main_emp_inf_swordsmen	zzz_cbfm_empire_all	false
			wh_main_emp_veh_luminark_of_hysh_0	zzz_cbfm_empire_all	false
			wh_main_emp_veh_steam_tank	zzz_cbfm_empire_all	false
			wh2_dlc13_emp_inf_archers_0	zzz_cbfm_empire_all	false
