unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_chaos_marked_units					
			wh3_main_kho_mon_spawn_of_khorne_0	wh3_dlc20_chs_khorne_marked_units	false
			wh3_main_kho_cav_gorebeast_chariot	wh3_dlc20_chs_khorne_marked_units	false
			wh3_main_nur_inf_forsaken_0	wh3_dlc20_chs_nurgle_marked_units	false
			wh3_main_sla_cav_hellstriders_0	wh3_dlc20_chs_slaanesh_marked_units	false
			wh3_main_sla_cav_hellstriders_1	wh3_dlc20_chs_slaanesh_marked_units	false
			wh3_main_tze_inf_forsaken_0	wh3_dlc20_chs_tzeentch_marked_units	false
			wh3_main_tze_cav_chaos_knights_0	wh3_dlc20_chs_tzeentch_marked_units	false
			wh3_main_tze_cav_doom_knights_0	wh3_dlc20_chs_tzeentch_marked_units	false
			wh3_dlc20_chs_inf_aspiring_champions_mtze_ror	wh3_dlc20_chs_tzeentch_marked_units	false
			wh3_twa07_tze_cav_doom_knights_ror_0	wh3_dlc20_chs_tzeentch_marked_units	false
