unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_convoy_trait_fix					
			wh3_dlc23_chd_veh_deathshrieker_rocket_launcher	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_dreadquake_mortar	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_iron_daemon	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_iron_daemon_ror	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_magma_cannon	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_skullcracker	wh3_dlc23_chd_category_warmachines_2	false
			wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_category_warmachines_2	false
