unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_dwfcharacterset					
			wh_pro01_dwf_cha_grombrindal_0	dwf_characters	false
			wh2_dlc17_dwf_cha_thorek_ironbrow_0	dwf_characters	false
			wh2_dlc17_dwf_cha_thorek_ironbrow_1	dwf_characters	false
			wh_dlc06_dwf_cha_belegar_ironhammer_0	dwf_characters	false
			wh2_dlc17_dwf_cha_thane_ghost_2	dwf_characters	false
			wh_dlc06_dwf_cha_master_engineer_ghost_0	dwf_characters	false
			wh_dlc06_dwf_cha_runesmith_ghost_0	dwf_characters	false
			wh_dlc06_dwf_cha_thane_ghost_0	dwf_characters	false
			wh2_pro08_neu_cha_gotrek	dwf_characters	false
			wh_dlc06_dwf_cha_runelord_0	dwf_characters	false
			wh_dlc06_dwf_cha_runelord_1	dwf_characters	false
