unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_forest_stalker_workaround					
			wh2_dlc10_hef_inf_dryads_0	cbfm_forest_stalker_units	false
			wh2_dlc10_hef_mon_treekin_0	cbfm_forest_stalker_units	false
			wh2_dlc10_hef_mon_treeman_0	cbfm_forest_stalker_units	false
			wh2_dlc13_emp_cha_hunter_kalara_of_wydrioth_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cav_glade_riders_2	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cav_great_stag_knights_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_ancient_treeman_coeddil_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_drycha_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_female_glade_lord_4	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_glade_lord_4	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_malicious_ancient_treeman_beasts_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_malicious_ancient_treeman_life_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_malicious_ancient_treeman_shadows_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_malicious_branchwraith_beasts_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_malicious_branchwraith_life_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_malicious_branchwraith_shadows_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_beasts_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_beasts_1	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_beasts_2	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_dark_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_dark_1	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_dark_2	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_high_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_high_1	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_high_2	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_life_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_life_1	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_life_2	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_shadows_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_shadows_1	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_cha_spellweaver_shadows_2	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_inf_bladesingers_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_inf_dryads_0_summoned	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_inf_dryads_ror_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_inf_malicious_dryads_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_giant_spiders_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_hawks_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_malicious_treekin_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_malicious_treeman_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_spider_hatchlings_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_wolves_0	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_zoats	cbfm_forest_stalker_units	false
			wh2_dlc16_wef_mon_zoats_ror_0	cbfm_forest_stalker_units	false
			wh2_twa02_wef_cha_glade_captain_0	cbfm_forest_stalker_units	false
			wh2_twa02_wef_cha_glade_captain_1	cbfm_forest_stalker_units	false
			wh2_twa02_wef_cha_glade_captain_3	cbfm_forest_stalker_units	false
			wh2_twa03_def_mon_wolves_0	cbfm_forest_stalker_units	false
			wh3_dlc25_emp_mon_hawks_summoned	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_glade_riders_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_glade_riders_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_glade_riders_1_qb	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_hawk_riders_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_sisters_thorn_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_wild_riders_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cav_wild_riders_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_ancient_treeman_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_branchwraith_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_durthu_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_female_glade_lord_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_female_glade_lord_0_qb	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_female_glade_lord_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_glade_lord_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_glade_lord_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_orion_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_beasts_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_beasts_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_beasts_3	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_life_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_life_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_life_3	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_shadows_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_shadows_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_spellsinger_shadows_3	cbfm_forest_stalker_units	false
			wh_dlc05_wef_cha_waystalker_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_inf_deepwood_scouts_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_inf_deepwood_scouts_1	cbfm_forest_stalker_units	false
			wh_dlc05_wef_inf_deepwood_scouts_1_qb	cbfm_forest_stalker_units	false
			wh_dlc05_wef_inf_dryads_0	cbfm_forest_stalker_units	false
			wh_dlc05_wef_inf_eternal_guard_0	cbfm_forest_stalker_units	false
