unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_grn_ror					
			wh_dlc06_grn_inf_da_eight_peaks_loonies_0	grn_fanatics	false
			wh_main_grn_inf_night_goblin_fanatics	grn_spears	false
			wh_main_grn_inf_night_goblin_fanatics	grn_spear_infantry	false
			wh_dlc06_grn_cav_deff_creepers_0	wh2_dlc15_grn_goblin_rider_squig_chariots	false
			wh_dlc06_grn_cav_durkits_squigs_0	wh2_dlc15_grn_goblin_rider_squig_chariots	false
			wh_dlc06_grn_art_hammer_of_gork_0	wh2_dlc15_grn_regular_goblins	false
			wh_dlc06_grn_cav_mogrubbs_marauders_0	wh2_dlc15_grn_goblin_rider_squig_chariots	false
			wh_dlc06_grn_cav_moon_howlers_0	wh2_dlc15_grn_goblin_rider_squig_chariots	false
			wh_dlc06_grn_cav_teef_robbers_0	wh2_dlc15_grn_goblin_rider_squig_chariots	false
			wh_main_grn_inf_night_goblin_fanatics_1	grn_spear_infantry	true
