unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_grom_drycha_vs_elves					
			wh2_main_hef_cha_tyrion_0	elven_unit_morale_debuff	false
			wh2_main_hef_cha_tyrion_1	elven_unit_morale_debuff	false
			wh2_main_hef_cha_princess_0	elven_unit_morale_debuff	false
			wh2_main_hef_cha_princess_1	elven_unit_morale_debuff	false
			wh2_main_hef_cha_princess_3	elven_unit_morale_debuff	false
			wh2_main_hef_cha_princess_4	elven_unit_morale_debuff	false
			wh2_main_hef_cha_princess_5	elven_unit_morale_debuff	false
			wh2_main_hef_cha_noble_0	elven_unit_morale_debuff	false
			wh2_main_hef_cha_noble_2	elven_unit_morale_debuff	false
			wh2_main_hef_cha_noble_3	elven_unit_morale_debuff	false
			wh2_main_hef_cha_noble_4	elven_unit_morale_debuff	false
			wh2_main_hef_cha_prince_0	elven_unit_morale_debuff	false
			wh2_main_hef_cha_prince_2	elven_unit_morale_debuff	false
			wh2_main_hef_cha_prince_3	elven_unit_morale_debuff	false
			wh2_main_hef_cha_prince_4	elven_unit_morale_debuff	false
			wh2_main_hef_cha_prince_5	elven_unit_morale_debuff	false
			wh3_dlc27_hef_cha_sea_helm	elven_unit_morale_debuff	false
			wh3_dlc27_hef_cha_sea_helm_eagle	elven_unit_morale_debuff	false
			wh3_dlc27_hef_cha_sea_helm_skycutter	elven_unit_morale_debuff	false
			wh2_dlc10_hef_cha_alith_anar_0	elven_unit_morale_debuff	false
			wh2_dlc10_hef_cha_alith_anar_summoned_0	elven_unit_morale_debuff	false
			wh2_dlc10_hef_cha_alith_anar_summoned_1	elven_unit_morale_debuff	false
			wh2_dlc15_hef_cha_alastair_1	elven_unit_morale_debuff	false
			wh2_main_hef_cha_alastair_0	elven_unit_morale_debuff	false
			wh2_main_hef_cha_alastair_3	elven_unit_morale_debuff	false
			wh2_main_hef_cha_alastair_5	elven_unit_morale_debuff	false
			wh2_dlc15_hef_cha_imrik_0	elven_unit_morale_debuff	false
			wh2_dlc15_hef_cha_imrik_1	elven_unit_morale_debuff	false
			wh2_dlc15_hef_cha_imrik_2	elven_unit_morale_debuff	false
			wh2_dlc16_wef_cha_drycha_0	elven_unit_morale_debuff	false
			wh2_dlc16_wef_cha_ariel_0	elven_unit_morale_debuff	false
			wh2_main_hef_inf_gate_guard	elven_unit_morale_debuff	false
