unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_gromdrychavselves					
			wh2_dlc10_hef_cav_the_fireborn_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alarielle_the_radiant_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alarielle_the_radiant_1	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alarielle_the_radiant_2	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alarielle_the_radiant_3	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alith_anar_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alith_anar_summoned_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_alith_anar_summoned_1	wh2_vs_xef	false
			wh2_dlc10_hef_cha_handmaiden_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_handmaiden_1	wh2_vs_xef	false
			wh2_dlc10_hef_cha_handmaiden_2	wh2_vs_xef	false
			wh2_dlc10_hef_cha_mage_heavens_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_mage_heavens_1	wh2_vs_xef	false
			wh2_dlc10_hef_cha_mage_heavens_2	wh2_vs_xef	false
			wh2_dlc10_hef_cha_mage_shadows_0	wh2_vs_xef	false
			wh2_dlc10_hef_cha_mage_shadows_1	wh2_vs_xef	false
			wh2_dlc10_hef_cha_mage_shadows_2	wh2_vs_xef	false
			wh2_dlc10_hef_cha_shadow_walker	wh2_vs_xef	false
			wh2_dlc10_hef_inf_dryads_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_shadow_walkers_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_shadow_warriors_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_sisters_of_avelorn_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_the_grey_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_the_silverpelts_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh2_vs_xef	false
			wh2_dlc10_hef_mon_treekin_0	wh2_vs_xef	false
			wh2_dlc10_hef_mon_treeman_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_alastair_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_beasts_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_beasts_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_beasts_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_beasts_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_beasts_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_death_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_death_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_death_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_death_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_death_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_fire_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_fire_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_fire_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_fire_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_fire_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_heavens_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_heavens_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_heavens_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_heavens_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_heavens_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_high_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_high_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_high_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_high_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_high_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_life_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_life_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_life_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_life_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_life_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_light_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_light_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_light_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_light_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_light_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_metal_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_metal_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_metal_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_metal_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_metal_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_shadows_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_shadows_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_shadows_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_shadows_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_archmage_shadows_4	wh2_vs_xef	false
			wh2_dlc15_hef_cha_eltharion_the_grim_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_eltharion_the_grim_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_eltharion_the_grim_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_imrik_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_imrik_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_imrik_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_beasts_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_beasts_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_beasts_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_death_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_death_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_death_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_fire_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_fire_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_fire_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_fire_3	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_metal_0	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_metal_1	wh2_vs_xef	false
			wh2_dlc15_hef_cha_mage_metal_2	wh2_vs_xef	false
			wh2_dlc15_hef_cha_prince_6	wh2_vs_xef	false
			wh2_dlc15_hef_cha_princess_6	wh2_vs_xef	false
			wh2_dlc15_hef_cha_teclis_2	wh2_vs_xef	false
			wh2_dlc15_hef_inf_archers_ror_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_mistwalkers_faithbearers_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_mistwalkers_griffon_knights_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_mistwalkers_sentinels_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_mistwalkers_skyhawks_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_mistwalkers_spireguard_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_rangers_0	wh2_vs_xef	false
			wh2_dlc15_hef_inf_silverin_guard_0	wh2_vs_xef	false
			wh2_dlc15_hef_mon_arcane_phoenix_0	wh2_vs_xef	false
			wh2_dlc15_hef_mon_arcane_phoenix_ror_0	wh2_vs_xef	false
			wh2_dlc15_hef_mon_black_dragon_imrik	wh2_vs_xef	false
			wh2_dlc15_hef_mon_black_dragon_imrik_boss	wh2_vs_xef	false
			wh2_dlc15_hef_mon_forest_dragon_0	wh2_vs_xef	false
			wh2_dlc15_hef_mon_forest_dragon_imrik	wh2_vs_xef	false
			wh2_dlc15_hef_mon_forest_dragon_imrik_boss	wh2_vs_xef	false
			wh2_dlc15_hef_mon_moon_dragon_imrik	wh2_vs_xef	false
			wh2_dlc15_hef_mon_moon_dragon_imrik_boss	wh2_vs_xef	false
			wh2_dlc15_hef_mon_star_dragon_imrik	wh2_vs_xef	false
			wh2_dlc15_hef_mon_star_dragon_imrik_boss	wh2_vs_xef	false
			wh2_dlc15_hef_mon_sun_dragon_imrik	wh2_vs_xef	false
			wh2_dlc15_hef_mon_sun_dragon_imrik_boss	wh2_vs_xef	false
			wh2_dlc15_hef_mon_war_lions_of_chrace_0	wh2_vs_xef	false
			wh2_dlc15_hef_mon_war_lions_of_chrace_ror_0	wh2_vs_xef	false
			wh2_dlc15_hef_veh_lion_chariot_of_chrace_0	wh2_vs_xef	false
			wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_vs_xef	false
			wh2_main_hef_cav_dragon_princes	wh2_vs_xef	false
			wh2_main_hef_cav_ellyrian_reavers_0	wh2_vs_xef	false
			wh2_main_hef_cav_ellyrian_reavers_1	wh2_vs_xef	false
			wh2_main_hef_cav_ithilmar_chariot	wh2_vs_xef	false
			wh2_main_hef_cav_silver_helms_0	wh2_vs_xef	false
			wh2_main_hef_cav_silver_helms_1	wh2_vs_xef	false
			wh2_main_hef_cav_tiranoc_chariot	wh2_vs_xef	false
			wh2_main_hef_cha_alastair_0	wh2_vs_xef	false
			wh2_main_hef_cha_alastair_3	wh2_vs_xef	false
			wh2_main_hef_cha_alastair_4	wh2_vs_xef	false
			wh2_main_hef_cha_alastair_5	wh2_vs_xef	false
			wh2_main_hef_cha_loremaster_of_hoeth_0	wh2_vs_xef	false
			wh2_main_hef_cha_mage_high_0	wh2_vs_xef	false
			wh2_main_hef_cha_mage_high_1	wh2_vs_xef	false
			wh2_main_hef_cha_mage_high_4	wh2_vs_xef	false
			wh2_main_hef_cha_mage_life_0	wh2_vs_xef	false
			wh2_main_hef_cha_mage_life_1	wh2_vs_xef	false
			wh2_main_hef_cha_mage_life_4	wh2_vs_xef	false
			wh2_main_hef_cha_mage_light_0	wh2_vs_xef	false
			wh2_main_hef_cha_mage_light_1	wh2_vs_xef	false
			wh2_main_hef_cha_mage_light_4	wh2_vs_xef	false
			wh2_main_hef_cha_noble_0	wh2_vs_xef	false
			wh2_main_hef_cha_noble_2	wh2_vs_xef	false
			wh2_main_hef_cha_noble_3	wh2_vs_xef	false
			wh2_main_hef_cha_noble_4	wh2_vs_xef	false
			wh2_main_hef_cha_prince_0	wh2_vs_xef	false
			wh2_main_hef_cha_prince_2	wh2_vs_xef	false
			wh2_main_hef_cha_prince_3	wh2_vs_xef	false
			wh2_main_hef_cha_prince_4	wh2_vs_xef	false
			wh2_main_hef_cha_prince_5	wh2_vs_xef	false
			wh2_main_hef_cha_princess_0	wh2_vs_xef	false
			wh2_main_hef_cha_princess_1	wh2_vs_xef	false
			wh2_main_hef_cha_princess_3	wh2_vs_xef	false
			wh2_main_hef_cha_princess_4	wh2_vs_xef	false
			wh2_main_hef_cha_princess_5	wh2_vs_xef	false
			wh2_main_hef_cha_teclis_0	wh2_vs_xef	false
			wh2_main_hef_cha_teclis_1	wh2_vs_xef	false
			wh2_main_hef_cha_tyrion_0	wh2_vs_xef	false
			wh2_main_hef_cha_tyrion_1	wh2_vs_xef	false
			wh2_main_hef_inf_archers_0	wh2_vs_xef	false
			wh2_main_hef_inf_archers_1	wh2_vs_xef	false
			wh2_main_hef_inf_gate_guard	wh2_vs_xef	false
			wh2_main_hef_inf_lothern_sea_guard_0	wh2_vs_xef	false
			wh2_main_hef_inf_lothern_sea_guard_1	wh2_vs_xef	false
			wh2_main_hef_inf_phoenix_guard	wh2_vs_xef	false
			wh2_main_hef_inf_spearmen_0	wh2_vs_xef	false
			wh2_main_hef_inf_swordmasters_of_hoeth_0	wh2_vs_xef	false
			wh2_main_hef_inf_white_lions_of_chrace_0	wh2_vs_xef	false
			wh2_main_hef_mon_great_eagle	wh2_vs_xef	false
			wh2_main_hef_mon_great_eagle_summoned	wh2_vs_xef	false
			wh2_main_hef_mon_moon_dragon	wh2_vs_xef	false
			wh2_main_hef_mon_phoenix_flamespyre	wh2_vs_xef	false
			wh2_main_hef_mon_phoenix_frostheart	wh2_vs_xef	false
			wh2_main_hef_mon_star_dragon	wh2_vs_xef	false
			wh2_main_hef_mon_sun_dragon	wh2_vs_xef	false
			wh2_dlc10_def_cav_doomfire_warlocks_0	wh2_vs_xef	false
			wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	wh2_vs_xef	false
			wh2_dlc10_def_cav_raven_heralds_ror_0	wh2_vs_xef	false
			wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	wh2_vs_xef	false
			wh2_dlc10_def_cha_crone_0	wh2_vs_xef	false
			wh2_dlc10_def_cha_crone_1	wh2_vs_xef	false
