unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_hef_caster_set					
			wh2_dlc15_hef_cha_archmage_heavens_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_heavens_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_heavens_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_heavens_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_heavens_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_fire_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_fire_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_fire_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_fire_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_fire_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_high_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_high_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_high_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_high_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_high_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_beasts_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_beasts_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_beasts_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_beasts_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_beasts_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_death_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_death_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_death_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_death_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_death_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_life_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_life_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_life_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_life_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_life_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_light_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_light_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_light_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_light_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_light_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_metal_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_metal_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_metal_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_metal_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_metal_4	hef_casters	false
			wh2_dlc15_hef_cha_archmage_shadows_0	hef_casters	false
			wh2_dlc15_hef_cha_archmage_shadows_1	hef_casters	false
			wh2_dlc15_hef_cha_archmage_shadows_2	hef_casters	false
			wh2_dlc15_hef_cha_archmage_shadows_3	hef_casters	false
			wh2_dlc15_hef_cha_archmage_shadows_4	hef_casters	false
