unit_set	unit_record	unit_caste	unit_category	unit_class	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_nurgleror					
wh3_main_kho_nur_all	wh3_dlc20_chs_mon_giant_mnur_ror				false
wh3_main_kho_nur_all	wh3_main_nur_inf_forsaken_0_warriors				false
wh3_main_kho_nur_all	wh_pro04_chs_inf_forsaken_ror_0				false
wh3_main_nur_all	wh_pro04_chs_inf_forsaken_ror_0				false
nur_plaguebearers_forsaken_spawn	wh_pro04_chs_inf_forsaken_ror_0				false
wh3_dlc20_chs_nurgle_marked_units	wh3_main_nur_inf_forsaken_0_warriors				false
nur_forsaken	wh_pro04_chs_inf_forsaken_ror_0				false
nur_forsaken_spawn	wh_pro04_chs_inf_forsaken_ror_0				false
nur_nurglings_plaguebearers_forsaken	wh_pro04_chs_inf_forsaken_ror_0				false
nur_nurglings_plaguebearers_forsaken_rank7_ror	wh_pro04_chs_inf_forsaken_ror_0				false
wh3_dlc20_nur_daemons	wh3_twa06_nur_inf_plaguebearers_ror_0				false
wh3_dlc20_nur_daemons	wh3_twa07_nur_cav_pox_riders_of_nurgle_ror_0				false
wh3_dlc20_sla_daemons	wh3_twa06_sla_inf_daemonette_ror_0				false
wh3_dlc20_sla_daemons	wh3_twa07_sla_cav_heartseekers_of_slaanesh_ror_0				false
