unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_rank7_empire					
			wh3_dlc25_emp_art_helstorm_rocket_battery_morr	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon_ror	true
			wh3_dlc25_emp_veh_marienburg_land_ship_morr	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon_ror	true
			wh2_dlc13_emp_inf_huntsmen_ror_0	emp_missile_infantry_vet	true
			wh3_dlc25_emp_inf_hochland_long_rifles_ror	emp_missile_infantry_vet	true
			wh_dlc04_emp_inf_stirlands_revenge_0	emp_missile_infantry_vet	true
			wh2_dlc13_emp_inf_archers_ror_0	emp_missile_infantry_vet	true
			wh_dlc04_emp_inf_silver_bullets_0	emp_missile_infantry_vet	true
			wh2_dlc13_emp_inf_huntsmen_ror_0	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror	false
			wh3_dlc25_emp_inf_hochland_long_rifles_ror	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror	false
			wh_dlc04_emp_inf_stirlands_revenge_0	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror	false
			wh2_dlc13_emp_inf_archers_ror_0	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror	false
			wh_dlc04_emp_inf_silver_bullets_0	zzz_cbfm_rank7_emp_missile_and_missile_cav_ror	false
			wh_dlc04_emp_inf_sigmars_sons_0	emp_melee_infantry_7	true
			wh3_dlc25_emp_inf_spearmen_shields_ror	emp_melee_infantry_7	true
			wh_dlc04_emp_inf_sigmars_sons_0	zzz_cbfm_rank7_emp_infantry_ror	false
			wh3_dlc25_emp_inf_spearmen_shields_ror	zzz_cbfm_rank7_emp_infantry_ror	false
			wh_dlc04_emp_inf_tattersouls_0	zzz_cbfm_rank7_emp_infantry_ror	false
			wh_dlc04_emp_cav_royal_altdorf_gryphites_0	zzz_cbfm_rank7_emp_cavalry_ror	false
			wh_dlc04_emp_cav_zintlers_reiksguard_0	zzz_cbfm_rank7_emp_cavalry_ror	false
			wh_dlc04_emp_cav_royal_altdorf_gryphites_0	emp_knights_demigryph_7	true
			wh_dlc04_emp_cav_zintlers_reiksguard_0	emp_knights_demigryph_7	true
			wh2_dlc13_emp_veh_steam_tank_ror_0	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon_ror	true
			wh2_dlc13_emp_art_mortar_ror_0	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon_ror	true
			wh2_dlc13_emp_veh_steam_tank_ror_0	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon	false
			wh2_dlc13_emp_art_mortar_ror_0	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon	false
			wh3_dlc25_emp_cav_outriders_morr	emp_outriders	false
