unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_ritual_staff_fix					
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_2	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_3	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_4	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_5	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_6	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_7	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_8	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_9	true
			wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_spear_halberd_units_rank_1	true
