unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_sayl_target_all					
			wh3_main_kho_cha_exalted_bloodthirster_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_main_nur_cha_exalted_great_unclean_one_nurgle_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_main_tze_cha_exalted_lord_of_change_tzeentch_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_main_tze_cha_exalted_lord_of_change_metal_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_main_sla_cha_exalted_keeper_of_secrets_slaanesh_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_main_sla_cha_exalted_keeper_of_secrets_shadow_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_main_nur_cha_exalted_great_unclean_one_death_0	wh3_dlc27_all_non_legendary_lords	false
			wh3_dlc20_chs_cha_daemon_prince_mtze	wh3_dlc27_all_non_legendary_lords	false
			wh3_dlc20_chs_cha_daemon_prince_msla	wh3_dlc27_all_non_legendary_lords	false
			wh3_dlc20_chs_cha_daemon_prince_mnur	wh3_dlc27_all_non_legendary_lords	false
			wh3_dlc20_chs_cha_daemon_prince_mkho	wh3_dlc27_all_non_legendary_lords	false
			wh3_dlc20_chs_cha_daemon_prince	wh3_dlc27_all_non_legendary_lords	false
