unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/zzz_cbfm_vets_in_wrong_set					
			wh_dlc08_nor_mon_war_mammoth_ror_1	wh3_dlc27_nor_norscan_monsters_r7	true
			wh_pro04_nor_mon_war_mammoth_ror_0	wh3_dlc27_nor_norscan_monsters_r7	true
			wh3_dlc27_bst_mon_chimera_ror	wh3_dlc27_bst_preyton_chimera_rank7	true
			wh3_dlc27_bst_mon_preyton_ror	wh3_dlc27_bst_preyton_chimera_rank7	true
			wh3_dlc27_sla_mon_champions_of_slaanesh_ror	wh3_dlc27_champions_of_slaanesh_rank_4	true
			wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	wh3_dlc27_hef_all_bow_inf_r7	true
			wh2_dlc10_hef_inf_the_grey_ror_0	wh3_dlc27_hef_all_bow_inf_r7	true
			wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh3_dlc27_hef_all_bow_inf_r7	true
			wh2_dlc15_hef_inf_archers_ror_0	wh3_dlc27_hef_all_bow_inf_r7	true
			wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	wh3_dlc27_hef_all_spear_inf_r7	true
			wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh3_dlc27_hef_all_spear_inf_r7	true
			wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	wh3_dlc27_hef_elite_melee_inf_r7	true
			wh2_dlc10_hef_inf_the_silverpelts_ror_0	wh3_dlc27_hef_elite_melee_inf_r7	true
			wh3_dlc27_hef_inf_swordmasters_of_hoeth_ror	wh3_dlc27_hef_elite_melee_inf_r7	true
			wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh3_dlc27_hef_seaguard_r9	true
			wh3_dlc27_nor_cav_chaos_chariot_ror	wh3_dlc27_nor_marauder_r7	true
			wh3_dlc27_nor_cav_marauder_horsemen_ror	wh3_dlc27_nor_marauder_r7	true
			wh3_dlc27_nor_inf_chaos_marauders_great_weapons_ror	wh3_dlc27_nor_marauder_r7	true
			wh_pro04_nor_inf_chaos_marauders_ror_0	wh3_dlc27_nor_marauder_r7	true
			wh_pro04_nor_inf_marauder_berserkers_ror_0	wh3_dlc27_nor_marauder_r7	true
			wh3_dlc27_nor_mon_chimera_ror	wh3_dlc27_nor_mon_chimera_dread_maw_cursd_ettin_rank7	true
			wh3_dlc27_nor_mon_chimera_ror	wh3_dlc27_nor_norscan_monsters_r7	true
			wh_dlc08_nor_mon_frost_wyrm_ror_0	wh3_dlc27_nor_norscan_monsters_r7	true
			wh3_dlc20_chs_cav_chaos_chariot_msla_ror	wh3_dlc27_sla_non_daemonic_rank7	true
			wh3_dlc27_nor_cav_marauder_horsemen_ror	wh3_dlc27_sla_non_daemonic_rank7	true
			wh3_dlc27_sla_mon_preyton_ror	wh3_dlc27_sla_non_daemonic_rank7	true
			wh3_twa10_sla_inf_marauders_spears_ror	wh3_dlc27_sla_non_daemonic_rank7	true
			wh_pro04_chs_inf_chaos_warriors_ror_0	wh3_dlc27_sla_non_daemonic_rank7	true
			wh3_dlc27_hef_inf_swordmasters_of_hoeth_ror	wh3_dlc27_hef_all_inf_ror	false
			wh2_dlc15_hef_inf_archers_ror_0	wh3_dlc27_hef_all_inf_ror	false
			wh3_dlc27_hef_inf_ships_company_ror	wh3_dlc27_hef_ships_company_r9	true
			wh3_dlc27_nor_cav_chaos_chariot_ror	cbfm_marauder_vets_ror	false
			wh3_dlc27_nor_cav_marauder_horsemen_ror	cbfm_marauder_vets_ror	false
			wh3_dlc27_nor_inf_chaos_marauders_great_weapons_ror	cbfm_marauder_vets_ror	false
			wh_pro04_nor_inf_chaos_marauders_ror_0	cbfm_marauder_vets_ror	false
			wh_pro04_nor_inf_marauder_berserkers_ror_0	cbfm_marauder_vets_ror	false
			wh3_dlc27_nor_inf_chaos_marauders_great_weapons_ror	wh3_dlc20_nur_marauders_nurgle_rank_7	true
			wh3_dlc27_nor_cav_marauder_horsemen_ror	wh3_dlc20_marauder_horsemen_all_rank7	true
			wh3_dlc27_nor_inf_chaos_marauders_great_weapons_ror	wh3_dlc20_chs_marauders_inf_only_rank7	true
			wh3_twa10_sla_inf_marauders_spears_ror	wh3_dlc20_chs_marauders_inf_only_rank7	true
			wh_dlc08_nor_mon_war_mammoth_ror_1	cbfm_nor_monsters_vet_ror	false
			wh_pro04_nor_mon_war_mammoth_ror_0	cbfm_nor_monsters_vet_ror	false
			wh3_dlc27_nor_mon_chimera_ror	cbfm_nor_monsters_vet_ror	false
			wh_dlc08_nor_mon_frost_wyrm_ror_0	cbfm_nor_monsters_vet_ror	false
