key	text	tooltip
#Loc PackedFile;1;text/db/!cbf_campaign_effect_scopes__.loc		
campaign_effect_scopes_localised_text_character_to_force_enemy_provincewide	\\n(enemy forces in local province)	true
campaign_effect_scopes_localised_text_province_to_force_any_provincewide	\\n(forces in local province)	true
campaign_effect_scopes_localised_text_building_to_forces_enemy_regionwide	\\n(enemy forces in local region)	true
campaign_effect_scopes_localised_text_region_to_force_enemy	\\n(enemy forces in local region)	true
campaign_effect_scopes_localised_text_foreign_building_to_character_own_regionwide	\\n(characters in local region)	true
campaign_effect_scopes_localised_text_building_to_forces_own_regionwide	\\n(forces in local region)	true
campaign_effect_scopes_localised_text_foreign_building_to_forces_own_regionwide	\\n(forces in local region)	true
campaign_effect_scopes_localised_text_region_to_force_own	\\n(forces in local region)	true
campaign_effect_scopes_localised_text_character_to_force_own_provincewide	\\n(forces in local province)	true
campaign_effect_scopes_localised_text_province_to_force_enemy_provincewide	\\n(enemy forces in local province)	true
campaign_effect_scopes_localised_text_region_to_character_enemy_text	\\n(enemy characters in local region)	true
campaign_effect_scopes_localised_text_province_to_force_own_provincewide	\\n(forces in local province)	true
campaign_effect_scopes_localised_text_region_to_force_any	\\n(forces in local region)	true
campaign_effect_scopes_localised_text_region_to_character_own_text	\\n(characters in local region)	true
campaign_effect_scopes_localised_text_foreign_building_to_character_own	\\n(characters against this settlement)	true
campaign_effect_scopes_localised_text_province_to_character_enemy	\\n(enemy characters in local province)	true
campaign_effect_scopes_localised_text_character_to_force_own_provincewide_governor	\\n(forces in local province when Ataman)	false
notice that this needs table priority or it won't replace		true
