key	text	tooltip
#Loc;1;text/db/!cbfm_mnd_lzd_force_climate_null.loc		
effect_bundles_localised_title_mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	Climate Penalties Nullified	true
effect_bundles_localised_description_mnd_main_effect_ignore_climate_penalties_hidden_forced_lzd	By the workings of the Great Plan, the climate penalties in this region have been negated for your faction.	true
effect_bundles_localised_title_mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	Climate Penalties Nullified	true
effect_bundles_localised_description_mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_lzd	By the workings of the Great Plan, the climate penalties in this region have been negated for your faction.	true
effect_bundles_localised_title_mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	Climate Penalties Nullified	true
effect_bundles_localised_description_mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl	Due to high Devotion, the climate penalties in this region have been negated for your faction.	true
effect_bundles_localised_title_mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	Climate Penalties Nullified	true
effect_bundles_localised_description_mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl	Due to high Devotion, the climate penalties in this region have been negated for your faction.	true
effect_bundles_localised_title_mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	Climate Penalties Nullified	true
effect_bundles_localised_description_mnd_main_effect_ignore_climate_penalties_hidden_forced_ksl_ata	Due to the presence of a skilled Ataman, the climate penalties in this region have been negated for your faction.	true
effect_bundles_localised_title_mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl_ata	Climate Penalties Nullified	true
effect_bundles_localised_description_mnd_main_effect_ignore_climate_penalties_hidden_forced_unsuitable_ksl_ata	Due to the presence of a skilled Ataman, the climate penalties in this region have been negated for your faction.	true
