key	text	tooltip
#Loc;1;text/db/!cbfm_skaventechtextfixes.loc		
effects_description_wh2_main_effect_force_stat_ammunition_skv_infantry	Ammunition: %+n% for Missile Infantry and Skaven Weapon Team units	false
effects_description_wh2_main_effect_force_stat_armour_skv_weaponteam	Armour: %+n for Skaven Weapon Team, Poison Wind Globadiers and Death Globe Bombardiers units	false
effects_description_wh2_main_effect_force_stat_charge_bonus_add_skv_deathrunners	Charge bonus: %+n for Death Runners and Eshin Triads units	false
effects_description_wh2_main_effect_force_stat_leadership_skv_deathrunners	Leadership: %+n for Death Runners and Eshin Triads units	false
effects_description_wh2_main_effect_force_stat_missile_damage_skv_weaponteams	Missile strength: %+n% for Skaven Weapon Team, Poison Wind Globadiers and Death Globe Bombardiers units	false
effects_description_wh2_main_effect_force_stat_range_skv_weaponteams	Range: %+n% for Skaven Weapon Team, Poison Wind Globadiers and Death Globe Bombardiers units	false
effects_description_wh2_main_effect_force_stat_weapon_strength_skv_deathrunner	Weapon strength: %+n% for Death Runners and Eshin Triads units	false
effects_description_wh2_main_effect_tech_unit_xp_levels_skv_stormvermin_deathrunners	Recruit rank: %+n for Stormvermin, Death Runners and Eshin Triads units	false
effects_description_wh2_main_effect_tech_unit_xp_levels_skv_weaponteams	Recruit rank: %+n for Skaven Weapon Team, Poison Wind Globadiers and Death Globe Bombardiers units 	false
effects_description_wh2_main_effect_tech_upkeep_reduction_skv_weaponteams	Upkeep: %+n% for Skaven Weapon Team, Poison Wind Globadiers and Death Globe Bombardiers units	false
