key	text	tooltip
#Loc;1;text/db/!zzz_cbfm_tzeentchredline.loc		
effects_description_wh3_main_effect_force_stat_weapon_strength_tze_knights_doom_knights	Weapon strength: %+n% for Chaos Chariots of Tzeentch, Chaos Knights of Tzeentch and Doom Knights of Tzeentch units	false
effects_description_wh3_main_effect_force_stat_speed_tze_horrors_rank7	Speed: %+n% for Marauders, Marauder Horsemen of Tzeentch, Chaos Warshrines, Blue Horrors of Tzeentch, Pink Horrors of Tzeentch and Exalted Pink Horrors of Tzeentch units {{tr:rank7}}	false
effects_description_wh3_main_effect_force_stat_missile_resistance_tze_knights_furies_screamers_rank7	Missile resistance: %n% for Chaos Warriors of Tzeentch, Chosen of Tzeentch, Chaos Chariots of Tzeentch, Chaos Knights of Tzeentch, Doom Knights of Tzeentch, Chaos Furies and Screamers of Tzeentch units {{tr:rank7}}	false
effects_description_wh3_main_effect_force_stat_missile_resistance_tze_horrors_rank7	Missile resistance: %n% for Marauders, Marauder Horsemen of Tzeentch, Chaos Warshrines, Blue Horrors of Tzeentch, Pink Horrors of Tzeentch and Exalted Pink Horrors of Tzeentch units {{tr:rank7}}	false
effects_description_wh3_main_effect_force_stat_missile_damage_tze_horrors	Missile strength: %+n% for Marauder Horsemen of Tzeentch, Blue Horrors of Tzeentch, Pink Horrors of Tzeentch and Exalted Pink Horrors of Tzeentch units	false
effects_description_wh3_main_effect_force_stat_leadership_tze_knights_furies_screamers_rank7	Leadership: %+n for Chaos Warriors of Tzeentch, Chosen of Tzeentch, Chaos Chariots of Tzeentch,  Chaos Knights of Tzeentch, Doom Knights of Tzeentch, Chaos Furies and Screamers of Tzeentch units {{tr:rank7}}	false
effects_description_wh3_main_effect_force_stat_leadership_tze_horrors_rank7	Leadership: %+n for Marauders, Marauder Horsemen of Tzeentch, Chaos Warshrines, Blue Horrors of Tzeentch, Pink Horrors of Tzeentch and Exalted Pink Horrors of Tzeentch units {{tr:rank7}}	false
effects_description_wh3_main_effect_force_stat_damage_tze_horrors	Barrier: %+n% for Marauders of Tzeentch, Marauder Horsemen of Tzeentch, Chaos Warriors of Tzeentch, Chosen of Tzeentch, Blue Horrors of Tzeentch, Pink Horrors of Tzeentch and Exalted Pink Horrors of Tzeentch units	false
effects_description_wh3_main_effect_force_stat_charge_bonus_tze_forsaken_spawn	Charge bonus: %+n for Forsaken of Tzeentch, Chaos Warriors of Tzeentch, Chosen of Tzeentch and Spawn of Tzeentch units	false
effects_description_wh3_main_effect_force_stat_charge_bonus_pct_tze_knights_doom_knights	Charge bonus: %+n% for Chaos Chariots of Tzeentch, Chaos Knights of Tzeentch and Doom Knights of Tzeentch units	false
effects_description_wh3_main_effect_force_stat_armour_tze_knights_furies_screamers_rank7	Armour: %+n for Chaos Warriors of Tzeentch, Chosen of Tzeentch, Chaos Chariots of Tzeentch, Chaos Knights of Tzeentch, Doom Knights of Tzeentch, Chaos Furies and Screamers of Tzeentch units {{tr:rank7}}	false
